date,Trump,Cruz,Kasich,Bush,Carson,Christie,Fiorina,Gilmore,Huckabee,Paul,Rubio,Santorum,Undecided
2016-01-03,35.0,18.0,2.0,6.0,9.0,4.0,3.0,0.0,2.0,2.0,13.0,1.0,5.0
2016-01-06,38.5,17.0,2.5,6.0,8.5,3.5,2.0,0.0,2.0,4.0,10.5,1.0,4.5
2016-01-07,35.0,20.0,2.0,4.0,10.0,2.0,3.0,0.0,1.0,2.0,13.0,0.0,8.0
2016-01-08,34.0,18.0,2.0,4.0,8.0,4.0,2.0,,1.0,3.0,9.0,,15.0
2016-01-10,39.25,17.25,2.5,5.0,8.0,3.25,2.5,0.0,2.5,2.25,10.75,0.25,6.5
2016-01-11,36.0,20.0,3.0,5.0,6.0,4.0,3.0,0.0,3.0,3.0,11.0,2.0,4.0
2016-01-13,35.5,17.0,2.5,7.5,11.5,4.5,3.0,0.0,2.0,3.0,9.5,1.0,3.0
2016-01-17,38.5,17.0,2.0,5.5,8.0,3.0,2.5,0.0,2.5,3.0,10.0,0.5,7.5
2016-01-18,36.0,17.0,3.0,5.0,8.0,3.0,1.0,0.0,3.0,2.0,11.0,1.0,10.0
2016-01-19,38.0,19.0,2.0,3.0,7.0,3.0,2.0,0.0,2.0,4.0,14.0,1.0,5.0
2016-01-20,40.5,12.5,2.5,8.0,7.5,3.0,3.0,1.0,2.0,3.0,8.0,1.0,8.0
2016-01-21,34.0,20.0,4.0,4.0,8.0,3.0,1.0,1.0,2.0,2.0,11.0,0.0,10.0
2016-01-24,37.6,16.4,2.2,5.2,9.0,3.2,2.0,0.0,2.0,2.4,9.4,0.25,10.349999999999975
2016-01-26,34.0,12.0,4.0,7.0,9.0,2.0,2.0,0.0,3.0,3.0,14.0,1.0,9.0
2016-01-27,31.0,21.0,2.0,5.0,9.0,1.0,2.0,0.0,1.0,4.0,10.0,1.0,13.0
2016-01-30,43.0,18.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,14.0,1.0,0.0
2016-01-31,39.0,20.0,3.0,3.0,7.0,3.0,2.0,0.0,2.0,3.0,12.0,1.0,5.0
2016-02-01,41.0,12.0,2.0,7.0,9.0,3.0,1.0,,3.0,3.0,8.0,1.0,10.0
2016-02-03,33.0,17.0,3.3333333333333335,5.666666666666667,9.333333333333334,3.6666666666666665,2.6666666666666665,0.5,,3.5,15.666666666666666,0.3333333333333333,5.333333333333329
2016-02-04,31.0,21.0,4.5,3.5,5.5,3.0,2.5,0.0,,,20.0,,9.0
2016-02-07,36.5,18.5,2.5,4.5,8.0,3.0,2.0,0.0,,,16.0,,9.0
2016-02-10,35.0,23.0,2.0,7.0,11.0,3.0,3.0,,,,14.0,,2.0
2016-02-11,44.0,17.0,4.0,8.0,10.0,,,,,,10.0,,7.0
2016-02-14,38.0,18.0,7.0,4.0,8.0,,,,,,14.0,,11.0
2016-02-15,37.666666666666664,19.0,8.0,5.333333333333333,5.0,,,,,,17.333333333333332,,7.666666666666681
2016-02-16,34.75,19.25,7.25,5.25,10.0,,,,,,14.25,,9.25
2016-02-17,37.0,19.333333333333332,8.0,,10.333333333333334,,,,,,13.333333333333334,,12.000000000000025
2016-02-21,36.0,19.0,8.0,,8.0,,,,,,16.0,,13.0
2016-02-22,36.0,17.0,12.0,,8.0,,,,,,21.0,,6.0
2016-02-24,36.5,21.0,7.5,,8.0,,,,,,15.5,,11.5
2016-02-25,42.0,14.0,5.0,,9.0,,,,,,19.0,,11.0
2016-02-27,45.666666666666664,17.0,6.333333333333333,,8.666666666666666,,,,,,15.666666666666666,,6.666666666666653
2016-02-28,40.0,18.0,7.0,,8.0,,,,,,21.0,,6.0
2016-03-02,41.0,16.0,10.0,,10.0,,,,,,20.0,,3.0
2016-03-06,35.75,23.75,13.5,,,,,,,,17.5,,9.5
2016-03-09,41.0,24.0,13.0,,,,,,,,13.0,,9.0
2016-03-12,53.0,22.0,11.0,,,,,,,,10.0,,4.0
2016-03-13,43.0,23.5,10.5,,,,,,,,11.5,,11.5
2016-03-16,46.0,24.0,9.0,,,,,,,,,,21.0
2016-03-17,43.0,28.0,21.0,,,,,,,,,,8.0
2016-03-18,43.0,27.0,14.0,,,,,,,,,,16.0
2016-03-20,44.75,27.5,17.75,,,,,,,,,,10.0
2016-03-21,44.0,27.5,14.5,,,,,,,,,,14.0
2016-03-22,40.5,34.5,21.0,,,,,,,,,,4.0
2016-03-23,45.0,28.0,18.0,,,,,,,,,,9.0
2016-03-26,45.5,30.0,16.0,,,,,,,,,,8.5
2016-03-27,48.0,27.0,18.0,,,,,,,,,,7.0
